customer_id,name,email,region,signup_date,last_purchase_date,revenue,orders,active,notes
C0063,Payton Lewis,payton.lewis348@mail.test,SOUTH,06/11/2021,2022-08-26,111.05,2,N,VIP customer
C0004,JORDAN SANCHEZ,jordansanchez18@mail.test,NORTH,"Oct 20, 2023",2024/11/29,10.25,3,yes,prefers email
C0034,Sam Lee,sam.lee@mail.test,eAst,19.08.2024,"Dec 20, 2026",37.74,2,yes,—
 C0035,FINLEY HARRIS,finleyharris10@demo.co,eAst,04.07.2023,"Jan 06, 2025",$4.07,3,Y,VIP customer
C0094,Finley Jones,finley.jones729@mail.test,eAst,07/07/2022,2022/10/20Z,$39.85,6,Y,VIP customer
C0042,Elliot Lee,elliot.lee@example.com,North,2024/02/02,2023/10/06,8.65,3,Y,coupon: FALL25
C0130,Taylor Jones,taylorjones79@sample.org,North,"Dec 07, 2023",08.02.2025 00:00,7.56,3,FALSE,  follow up next qtr 
 C0034,SAM LEE,sam.lee@mail.test,eAst,19.08.2024,"Dec 20, 2026",37.74,2,yes,—
C0111,Hayden Harris,hayden.harris@example.com,East ,2021/08/19 00:00,2022-04-23,6.1,4,yes,
C0080,Reese Lee,reeselee17@example.com,,2024-12-11,08.02.2027,$38.01,2,Y,legacy plan
C0024,Morgan Harris,morgan.harris988@demo.co,WEST,02/11/2022,2022/04/30,$10.47,3,False,prefers email
 C0069,Sam Williams,samwilliams93@mail.test,nORTH,08.07.2024,"Jan 18, 2026",-19.67,  ,FALSE,  follow up next qtr 
 C0100,Avery Lopez,averylopez36@sample.org,EaST,2022-09-07 00:00,2022-10-23,12.76,,true,needs onboarding call
C0064,Sage Martin,sagemartin19@sample.org,west,"Oct 20, 2021 00:00",08.03.2024,$-41.65,1,N,
C0117,ALEX HERNANDEZ,alex.hernandez778@sample.org,eAst,2021-10-19,2023/10/18,14.86, 3 ,Y,—
C0073,Remy Sanchez,remy.sanchez@sample.org,WEST,2022/09/05,05.05.2024Z,$21.18,1,TRUE,  
C0138,Shiloh Martinez,shilohmartinez61@sample.org,East ,"Dec 31, 2024",2025/08/16,32.6,6,1,legacy plan
C0027,Elliot Gonzalez,elliot.gonzalez314@demo.co,north ,2022-07-09,2023/05/19,12.08,4,true,  
C0115,Alex Garcia,alex.garcia@example.com,,09/04/2024,08.11.2025,17.32,,true,VIP customer
C0134,Drew Davis,drew.davis@sample.org,SOUTH,2023/11/04Z,12/22/2024,$-6.67,3,no,coupon: FALL25
C0038,Avery Garcia,averygarcia31@mail.test,East ,09.04.2024,"Sep 03, 2024",27.13,3,Y,legacy plan
C0091,Shawn Gonzalez,shawn.gonzalez@sample.org, North,02/07/2023 00:00,25.04.2021,,,FALSE,loves mystery anime
